Time,Cap_1_WC_Ton,Cap_2_WC_Ton,Cap_3_WC_Ton
0,150,150,150
1,150.2141484,150.2141484,150.2141484
2,269.1791194,269.1791194,269.1791194
3,311.7125775,311.7125775,311.7125775
4,330.1498015,330.1498015,330.1498015
5,331.0048761,331.0048761,331.0048761
6,330.5315596,330.5315596,330.5315596
7,330.266107,330.266107,330.266107
8,330.1330529,330.1330529,330.1330529
9,330.0665972,330.0665972,330.0665972
10,330.0333556,330.0333556,330.0333556
11,330.0167118,330.0167118,330.0167118
12,330.0083744,330.0083744,330.0083744
13,330.0041968,330.0041968,330.0041968
14,330.0021033,330.0021033,330.0021033
15,330.0010541,330.0010541,330.0010541
16,330.0005283,330.0005283,330.0005283
17,330.0002648,330.0002648,330.0002648
18,330.0001327,330.0001327,330.0001327
19,330.0000665,330.0000665,330.0000665
20,330.0000333,330.0000333,330.0000333
21,330.0000167,330.0000167,330.0000167
22,330.0000084,330.0000084,330.0000084
23,330.0000042,330.0000042,330.0000042
24,330.0000021,330.0000021,330.0000021
25,330.0000011,330.0000011,330.0000011
26,330.0000005,330.0000005,330.0000005
27,330.0000003,330.0000003,330.0000003
28,330.0000001,330.0000001,330.0000001
29,330.0000001,330.0000001,330.0000001
30,330,330,330
