Process,Cost_Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PTAP-1_P1,1,46572.48863,61068.12281,71535.01453,78528.37292,83202.48904,86526.89773,89126.17,91358.04962,93416.29007,95403.09804,97371.81983,99350.28941,101353.1657,103388.3437,105460.2592,107571.5854,109724.1014,111919.1377,114157.8038,116441.1048,118770.0009,121145.4388,123568.3669,126039.7442,128560.5441,131131.7576,133754.394,136429.4826,139158.0726,141912.8999
PTAP-1_P1,2,3059.378946,4011.607167,4699.184513,5158.583056,5465.628972,5684.011675,5854.759666,6001.37338,6136.580617,6267.095404,6396.422098,6526.389132,6657.959456,6791.651704,6927.757269,7066.451742,7207.852004,7352.045457,7499.104981,7649.096597,7802.083393,7958.127548,8117.29137,8279.637848,8445.230937,8614.135725,8786.418527,8962.146942,9141.389903,9322.356412
PTAP-1_P2,1,399.9897592,524.4861173,614.3814529,674.4442028,714.5880439,743.1398665,765.4638247,784.6324157,802.3096996,819.3734826,836.2819318,853.2741002,870.4758863,887.9550973,905.7498306,923.8830432,942.3700165,961.2221775,980.4490547,1000.05928,1020.061102,1040.462649,1061.272068,1082.497594,1104.14759,1126.230564,1148.755186,1171.730296,1195.164905,1218.824854
PTAP-1_P3,1,1076.050881,1410.970496,1652.806575,1814.38715,1922.381953,1999.191954,2059.247779,2110.815048,2158.370408,2204.27533,2249.762373,2295.474638,2341.750816,2388.773321,2436.644642,2485.42654,2535.160123,2585.876132,2637.600202,2690.355553,2744.164375,2799.048537,2855.029955,2912.130783,2970.373516,3029.781046,3090.376697,3152.184247,3215.22794,3278.877842
PTAP-1_P5,1,2861.103218,3751.618345,4394.634393,4824.25971,5111.406243,5315.635751,5475.317711,5612.429515,5738.874087,5860.930323,5981.875465,6103.419446,6226.46281,6351.490578,6478.775259,6608.481062,6740.717294,6875.565693,7013.094415,7153.365203,7296.437056,7442.368123,7591.216674,7743.041616,7897.902759,8055.860973,8216.978273,8381.31788,8548.944259,8718.182484
PTAP-1_P6,1,450.6237569,590.8798893,692.1549168,759.8209043,805.0464833,837.2126307,862.3625394,883.9576486,903.8726687,923.0965258,942.1453857,961.2885628,980.6678926,1000.359766,1020.407103,1040.835767,1061.662974,1082.901597,1104.56237,1126.655019,1149.188836,1172.172979,1195.616626,1219.529054,1243.919684,1268.798103,1294.174078,1320.057566,1346.458721,1373.113741
PTAP-1_P7,1,96.56223362,126.6171191,148.3189108,162.8187652,172.5099607,179.4027066,184.7919727,189.4194961,193.6870004,197.8063984,201.8882969,205.9904063,210.1431199,214.362807,218.658665,223.0362358,227.4992087,232.0503421,236.6919365,241.4260756,246.2547506,251.1799241,256.2035628,261.3276545,266.5542181,271.8853078,277.3230167,282.8694785,288.5268687,294.2386588
PTAP-1_P8,1,81.91625641,98.82212951,111.0293873,119.1855554,124.6368529,128.5140225,131.5454847,134.1484666,136.5489377,138.8660991,141.162167,143.4696036,145.8055049,148.1790789,150.5954991,153.0578827,155.5683049,158.1283175,160.7392143,163.4021675,166.1182972,168.8887073,171.7145041,174.5968057,177.5367477,180.5354857,183.5941969,186.7140816,189.8963637,193.1092456
PTAP-1_P13,1,41045.38677,53820.71677,63045.425,69208.82979,73328.23396,76258.11048,78548.90788,80515.91382,82329.88765,84080.90641,85815.98542,87559.65538,89324.83548,91118.48384,92944.50986,94805.26931,96702.3303,98636.86543,100609.8525,102622.1772,104674.686,106768.2131,108903.5944,111081.675,113303.313,115569.3815,117880.7703,120238.3863,122643.1543,125071.0459
PTAP-2_P1,1,46572.48863,61068.12281,71535.01453,78528.37292,83202.48904,86526.89773,89126.17,91358.04962,93416.29007,95403.09804,97371.81983,99350.28941,101353.1657,103388.3437,105460.2592,107571.5854,109724.1014,111919.1377,114157.8038,116441.1048,118770.0009,121145.4388,123568.3669,126039.7442,128560.5441,131131.7576,133754.394,136429.4826,139158.0726,141912.8999
PTAP-2_P1,2,3059.378946,4011.607167,4699.184513,5158.583056,5465.628972,5684.011675,5854.759666,6001.37338,6136.580617,6267.095404,6396.422098,6526.389132,6657.959456,6791.651704,6927.757269,7066.451742,7207.852004,7352.045457,7499.104981,7649.096597,7802.083393,7958.127548,8117.29137,8279.637848,8445.230937,8614.135725,8786.418527,8962.146942,9141.389903,9322.356412
PTAP-2_P2,1,399.9897592,524.4861173,614.3814529,674.4442028,714.5880439,743.1398665,765.4638247,784.6324157,802.3096996,819.3734826,836.2819318,853.2741002,870.4758863,887.9550973,905.7498306,923.8830432,942.3700165,961.2221775,980.4490547,1000.05928,1020.061102,1040.462649,1061.272068,1082.497594,1104.14759,1126.230564,1148.755186,1171.730296,1195.164905,1218.824854
PTAP-2_P3,1,1076.050881,1410.970496,1652.806575,1814.38715,1922.381953,1999.191954,2059.247779,2110.815048,2158.370408,2204.27533,2249.762373,2295.474638,2341.750816,2388.773321,2436.644642,2485.42654,2535.160123,2585.876132,2637.600202,2690.355553,2744.164375,2799.048537,2855.029955,2912.130783,2970.373516,3029.781046,3090.376697,3152.184247,3215.22794,3278.877842
PTAP-2_P5,1,2861.103218,3751.618345,4394.634393,4824.25971,5111.406243,5315.635751,5475.317711,5612.429515,5738.874087,5860.930323,5981.875465,6103.419446,6226.46281,6351.490578,6478.775259,6608.481062,6740.717294,6875.565693,7013.094415,7153.365203,7296.437056,7442.368123,7591.216674,7743.041616,7897.902759,8055.860973,8216.978273,8381.31788,8548.944259,8718.182484
PTAP-2_P6,1,450.6237569,590.8798893,692.1549168,759.8209043,805.0464833,837.2126307,862.3625394,883.9576486,903.8726687,923.0965258,942.1453857,961.2885628,980.6678926,1000.359766,1020.407103,1040.835767,1061.662974,1082.901597,1104.56237,1126.655019,1149.188836,1172.172979,1195.616626,1219.529054,1243.919684,1268.798103,1294.174078,1320.057566,1346.458721,1373.113741
PTAP-2_P7,1,96.56223362,126.6171191,148.3189108,162.8187652,172.5099607,179.4027066,184.7919727,189.4194961,193.6870004,197.8063984,201.8882969,205.9904063,210.1431199,214.362807,218.658665,223.0362358,227.4992087,232.0503421,236.6919365,241.4260756,246.2547506,251.1799241,256.2035628,261.3276545,266.5542181,271.8853078,277.3230167,282.8694785,288.5268687,294.2386588
PTAP-2_P8,1,81.91625641,98.82212951,111.0293873,119.1855554,124.6368529,128.5140225,131.5454847,134.1484666,136.5489377,138.8660991,141.162167,143.4696036,145.8055049,148.1790789,150.5954991,153.0578827,155.5683049,158.1283175,160.7392143,163.4021675,166.1182972,168.8887073,171.7145041,174.5968057,177.5367477,180.5354857,183.5941969,186.7140816,189.8963637,193.1092456
PTAP-2_P13,1,41045.38677,53820.71677,63045.425,69208.82979,73328.23396,76258.11048,78548.90788,80515.91382,82329.88765,84080.90641,85815.98542,87559.65538,89324.83548,91118.48384,92944.50986,94805.26931,96702.3303,98636.86543,100609.8525,102622.1772,104674.686,106768.2131,108903.5944,111081.675,113303.313,115569.3815,117880.7703,120238.3863,122643.1543,125071.0459
