,Total,TD_Min,TD_Mean,TD_Max
0,979254.2768873519,960053.2126346587,932623.120845097,898398.4191627081
1,2591361.6622049897,2490735.93060841,2350441.416965977,2181097.266395917
2,3142674.307016354,2961412.1897086655,2714760.2263395777,2426721.1830903813
3,3467963.6981554613,3203862.400166918,2853102.3169609047,2456792.9148322213
4,3654005.5142114474,3309545.3735097125,2863008.932804705,2374852.869393244
5,3793844.7945734756,3368825.6060372987,2831025.39816045,2262145.694254954
6,3913583.905729075,3407010.303992042,2781311.0156993745,2140864.4165014643
7,4023900.96042517,3434360.7243455243,2723534.558920793,2019460.2047802582
8,4130338.735243082,3456082.686552464,2662453.17573743,1901722.6925181388
9,4235786.666579368,3474820.390562235,2600405.573784306,1789242.0636677907
10,4341750.238239432,3491909.2415904584,2538531.4426847007,1682570.8453892365
11,4449020.602437565,3508022.3830442093,2477381.145680103,1581781.3168682733
12,4558022.779200599,3523499.858377849,2417216.7965376806,1486729.7025866255
13,4668994.952548121,3538514.664465006,2358159.7232298874,1397180.2347989995
14,4782080.339703521,3553156.1323882164,2300262.4078420675,1312862.9698641729
15,4897374.143406461,3567471.6929567703,2243543.5225972626,1233500.4632186396
16,5014947.5238850275,3581487.7742849146,2188004.993213307,1158819.8556480638
17,5134859.833669559,3595220.2516781613,2133640.32073911,1088558.1412872158
18,5257164.868591286,3608679.6749844183,2080438.6561365486,1022464.2597059514
19,5381914.062820668,3621873.8815294267,2028386.8080034102,960299.7149607872
20,5509158.1177481655,3634809.296866725,1977470.2419654268,901838.518257802
21,5638947.866188926,3647491.602110724,1927673.6011208643,846866.8337681218
22,5771334.694599743,3659926.0495940214,1878980.9727111133,795182.4899586804
23,5906370.787338022,3672117.6342223193,1831376.0473843906,746594.4494478868
24,6044109.253190472,3684071.174665214,1784842.214911236,700922.2679482464
25,6184604.199754212,3695791.3546559163,1739362.6305152737,657995.5622088143
26,6327910.791295753,3707282.750138207,1694920.26823203,617653.4955385847
27,6474085.276528865,3718549.8361084275,1651497.9603642325,579744.2811822665
28,6623185.02113579,3729596.995346808,1609078.4347743979,544124.7080138735
29,6773719.323961534,3739573.24887985,1567285.895089102,510542.92125946085
