,Total,TD_Min,TD_Mean,TD_Max
0,340948.7710400939,334263.5010196999,324713.1152762799,312797.0376514623
1,899597.8674022373,864665.3858152992,815961.7844918252,757173.5269777267
2,1089645.454160623,1026797.2481932127,941276.7123728521,841406.2188264687
3,1201780.457193172,1110259.3784659652,988707.7562893418,851371.574041101
4,1265955.9008976733,1146615.2633290105,991909.5739484781,822784.4736629954
5,1314152.756539477,1166930.0396281537,980641.0204622231,783586.3512527469
6,1355381.339048257,1179941.0206118163,963244.2128683603,741440.0072809875
7,1393334.697137072,1189197.747851581,943063.7675026896,699267.7007911652
8,1429935.1587144693,1196505.7739107877,921748.9529206577,658381.8699791924
9,1466185.2347274187,1202782.5646106931,900110.5477449313,619332.4880597539
10,1502607.3463388938,1208491.5509304216,878543.3950334823,582309.707903121
11,1539476.0197866578,1213866.3355733904,857237.8522042676,547337.1834985653
12,1576938.6895841279,1219024.8971056514,836284.2557450755,514363.72798776056
13,1615077.9225252073,1224027.2202457946,815724.1002580611,483306.3590657613
14,1653943.307435322,1228904.2399903738,795575.0101495197,454070.35606623295
15,1693567.75605713,1233672.3421412257,775842.9023228919,426558.50878805167
16,1733975.8265565732,1238340.6195458968,756527.909523931,400675.30267413164
17,1775187.9724623058,1242914.5012456996,737627.2688304167,376328.7377521322
18,1817222.7136227,1247397.5679837284,719136.7352424463,353431.04563942604
19,1860097.745896111,1251792.4597669984,701051.277544019,331898.8958822322
20,1903830.507050347,1256101.3277857462,683365.4240762356,311653.36822717235
21,1948438.47686545,1260326.0661814443,666073.4421366674,292619.82250072144
22,1993939.3237566676,1264468.421690284,649169.4293150117,274727.7224755228
23,2040350.9897128136,1268530.0532417444,632647.3676233889,257910.4459731423
24,2087691.733998739,1272512.5600189434,616501.1555003342,242105.09169713865
25,2135980.159143746,1276417.495915705,600724.6297967378,227252.28976472217
26,2185235.230764581,1280246.378812956,585311.5831803891,213296.01876062952
27,2235476.287356137,1284000.6930568852,570255.7768887935,200183.42946637076
28,2286723.051282435,1287681.8923277971,555550.9526576817,187864.67668002337
29,2338463.017904063,1290997.3571409432,541067.6068587198,176252.61445284166
