Time,NBS-1,NBS-2,NBS-3
1,13761.467889908256,5504.587155963302,5963.302752293577
2,24829.559801363517,10310.579917515359,10100.159919198719
3,31659.52268250363,15250.623731206017,12934.073291022825
4,29045.433653673048,13991.397918537628,11866.122285342039
5,26647.186838232155,12836.14487939232,10886.350720497283
6,24446.960402047847,11776.279705864512,9987.477725226865
7,22428.404038576005,10803.926335655515,9162.823601125563
8,20576.51746658349,9911.859023537168,8406.260184518864
9,18877.538960168335,9093.448645446942,7712.1653068980395
10,17318.843082723244,8342.613436189855,7075.381015502788
11,15888.84686488371,7653.773794669592,6491.17524358054
12,14576.923729251108,7021.81082079779,5955.206645486734
13,13373.324522248722,6442.028275961275,5463.492335308929
14,12269.10506628323,5910.117684368141,5012.3782892742465
15,11256.059693837824,5422.126315934074,4598.5121919947205
16,10326.660269575985,4974.427812783554,4218.818524765798
17,9474.000247317417,4563.695241085829,3870.4757107943105
18,8691.743346162768,4186.87636796865,3550.895147517716
19,7974.076464369511,3841.170979787752,3257.701970199739
20,7315.666481072945,3524.0100731997723,2988.7174038529715
21,6711.620624837564,3233.036764403461,2741.9425723421755
22,6157.450114529875,2966.0887746820736,2515.5436443506196
23,5649.036802320986,2721.1823620936457,2307.8382058262564
24,5182.602570936684,2496.497579902427,2117.282757638767
25,4754.681257740076,2290.364752204061,1942.4612455401532
26,4362.092897009244,2101.2520662422576,1782.074537192801
27,4001.9200889993062,1927.7541892130803,1634.9307680667896
28,3671.4863201828493,1768.5818249661286,1499.9364844649444
29,3368.336073562247,1622.552132996448,1376.088517857747
30,3090.2165812497674,1488.5799385288515,1262.4665301447221
