Time,Cost
1,419816.5137614679
2,410529.4167157646
3,450607.669789634
4,79945.78506870741
5,90307.96612615508
6,67288.7678383195
7,76010.40832097892
8,56635.60966107187
9,63976.439963790006
10,47669.05955817849
11,53847.68955794125
12,40122.093727950916
13,45322.5229845478
14,33769.963578782015
15,38147.0608404577
16,28423.50271760122
17,32107.617911335492
18,23923.49357596264
19,27024.339627418136
20,20135.925911928825
21,22745.845995638527
22,16948.005985968204
23,19144.72350445124
24,14264.797564151335
25,16113.730750316674
26,12006.394717743737
27,13562.604789425697
28,10105.542225186207
29,11415.373107840835
30,8505.632712049664
