Time,Program Director (Cost/yr),Monitoring and Evaluation Manager (Cost/yr),Finance and Administrator (Cost/yr),Implementation Manager (Cost/yr),Office Costs (Cost/yr),Travel (Cost/yr),Equipment (Cost/yr),Contracts (Cost/yr),Overhead (Cost/yr),Others (Cost/yr)
1,27522.93577981651,13761.467889908256,13761.467889908256,13761.467889908256,6422.018348623853,4587.155963302752,4587.155963302752,4587.155963302752,3669.7247706422017,0.0
2,25250.399797996797,12625.199898998399,12625.199898998399,12625.199898998399,5891.759952865919,4208.3999663327995,4208.3999663327995,4208.3999663327995,3366.7199730662396,0.0
3,23165.504401831924,11582.752200915962,11582.752200915962,11582.752200915962,5405.284360427449,3860.917400305321,3860.917400305321,3860.917400305321,3088.7339202442568,0.0
4,21252.75633195589,10626.378165977945,10626.378165977945,10626.378165977945,4958.976477456375,3542.1260553259817,3542.1260553259817,3542.1260553259817,2833.7008442607853,0.0
5,19497.941588950358,9748.970794475179,9748.970794475179,9748.970794475179,4549.519704088417,3249.6569314917265,3249.6569314917265,3249.6569314917265,2599.725545193381,0.0
6,17888.019806376473,8944.009903188236,8944.009903188236,8944.009903188236,4173.871288154511,2981.3366343960793,2981.3366343960793,2981.3366343960793,2385.0693075168633,0.0
7,16411.027345299517,8205.513672649759,8205.513672649759,8205.513672649759,3829.2397139032205,2735.171224216586,2735.171224216586,2735.171224216586,2188.136979373269,0.0
8,15055.98839018304,7527.99419509152,7527.99419509152,7527.99419509152,3513.063957709376,2509.33139836384,2509.33139836384,2509.33139836384,2007.465118691072,0.0
9,13812.833385489026,6906.416692744513,6906.416692744513,6906.416692744513,3222.994456614106,2302.1388975815044,2302.1388975815044,2302.1388975815044,1841.7111180652034,0.0
10,12672.324206870666,6336.162103435333,6336.162103435333,6336.162103435333,2956.875648269822,2112.054034478444,2112.054034478444,2112.054034478444,1689.6432275827553,0.0
11,11625.98551089052,5812.99275544526,5812.99275544526,5812.99275544526,2712.7299525411213,1937.6642518150866,1937.6642518150866,1937.6642518150866,1550.1314014520692,0.0
12,10666.041753110567,5333.020876555283,5333.020876555283,5333.020876555283,2488.743075725799,1777.6736255184278,1777.6736255184278,1777.6736255184278,1422.1389004147422,0.0
13,9785.359406523456,4892.679703261728,4892.679703261728,4892.679703261728,2283.250528188806,1630.893234420576,1630.893234420576,1630.893234420576,1304.7145875364608,0.0
14,8977.39395093895,4488.696975469475,4488.696975469475,4488.696975469475,2094.725255219088,1496.2323251564915,1496.2323251564915,1496.2323251564915,1196.985860125193,0.0
15,8236.14123939353,4118.070619696765,4118.070619696765,4118.070619696765,1921.7662891918237,1372.6902065655884,1372.6902065655884,1372.6902065655884,1098.1521652524707,0.0
16,7556.09288017755,3778.046440088775,3778.046440088775,3778.046440088775,1763.088338708095,1259.348813362925,1259.348813362925,1259.348813362925,1007.47905069034,0.0
17,6932.195302915184,3466.097651457592,3466.097651457592,3466.097651457592,1617.5122373468762,1155.3658838191973,1155.3658838191973,1155.3658838191973,924.2927070553578,0.0
18,6359.812204509341,3179.9061022546707,3179.9061022546707,3179.9061022546707,1483.9561810521798,1059.968700751557,1059.968700751557,1059.968700751557,847.9749606012456,0.0
19,5834.69009588013,2917.345047940065,2917.345047940065,2917.345047940065,1361.427689038697,972.4483493133549,972.4483493133549,972.4483493133549,777.9586794506839,0.0
20,5352.926693468009,2676.4633467340045,2676.4633467340045,2676.4633467340045,1249.0162284758687,892.1544489113347,892.1544489113347,892.1544489113347,713.7235591290678,0.0
21,4910.941920612852,2455.470960306426,2455.470960306426,2455.470960306426,1145.8864481429987,818.4903201021419,818.4903201021419,818.4903201021419,654.7922560817136,0.0
22,4505.451303314542,2252.725651657271,2252.725651657271,2252.725651657271,1051.2719707733932,750.9085505524238,750.9085505524238,750.9085505524238,600.726840441939,0.0
23,4133.441562673892,2066.720781336946,2066.720781336946,2066.720781336946,964.4696979572415,688.9069271123153,688.9069271123153,688.9069271123153,551.1255416898523,0.0
24,3792.148222636598,1896.074111318299,1896.074111318299,1896.074111318299,884.8345852818728,632.0247037727663,632.0247037727663,632.0247037727663,505.61976301821306,0.0
25,3479.03506663908,1739.51753331954,1739.51753331954,1739.51753331954,811.774848882452,579.83917777318,579.83917777318,579.83917777318,463.87134221854404,0.0
26,3191.7752904945687,1595.8876452472844,1595.8876452472844,1595.8876452472844,744.7475677820661,531.9625484157615,531.9625484157615,531.9625484157615,425.5700387326092,0.0
27,2928.234211462907,1464.1171057314534,1464.1171057314534,1464.1171057314534,683.2546493413449,488.0390352438178,488.0390352438178,488.0390352438178,390.43122819505425,0.0
28,2686.453405011841,1343.2267025059205,1343.2267025059205,1343.2267025059205,626.8391278360962,447.74223416864015,447.74223416864015,447.74223416864015,358.19378733491214,0.0
29,2464.6361513870097,1232.3180756935049,1232.3180756935049,1232.3180756935049,575.081768656969,410.772691897835,410.772691897835,410.772691897835,328.618153518268,0.0
30,2261.1340838412934,1130.5670419206467,1130.5670419206467,1130.5670419206467,527.5979528963018,376.85568064021555,376.85568064021555,376.85568064021555,301.4845445121724,0.0
