Time,NBS-1,NBS-2,NBS-3
1,45000.0,108000.0,97500.0
2,88500.0,112500.0,180000.0
3,123000.0,243000.0,251250.0
4,123000.0,112500.0,251250.0
5,123000.0,243000.0,251250.0
6,123000.0,112500.0,251250.0
7,123000.0,243000.0,251250.0
8,123000.0,112500.0,251250.0
9,123000.0,243000.0,251250.0
10,123000.0,112500.0,251250.0
11,123000.0,243000.0,251250.0
12,123000.0,112500.0,251250.0
13,123000.0,243000.0,251250.0
14,123000.0,112500.0,251250.0
15,123000.0,243000.0,251250.0
16,123000.0,112500.0,251250.0
17,123000.0,243000.0,251250.0
18,123000.0,112500.0,251250.0
19,123000.0,243000.0,251250.0
20,123000.0,112500.0,251250.0
21,123000.0,243000.0,251250.0
22,123000.0,112500.0,251250.0
23,123000.0,243000.0,251250.0
24,123000.0,112500.0,251250.0
25,123000.0,243000.0,251250.0
26,123000.0,112500.0,251250.0
27,123000.0,243000.0,251250.0
28,123000.0,112500.0,251250.0
29,123000.0,243000.0,251250.0
30,123000.0,112500.0,251250.0
