Time,NBS-1,NBS-2,NBS-3
1,15000.0,6000.0,6500.0
2,29500.0,12250.0,12000.0
3,41000.0,19750.0,16750.0
4,41000.0,19750.0,16750.0
5,41000.0,19750.0,16750.0
6,41000.0,19750.0,16750.0
7,41000.0,19750.0,16750.0
8,41000.0,19750.0,16750.0
9,41000.0,19750.0,16750.0
10,41000.0,19750.0,16750.0
11,41000.0,19750.0,16750.0
12,41000.0,19750.0,16750.0
13,41000.0,19750.0,16750.0
14,41000.0,19750.0,16750.0
15,41000.0,19750.0,16750.0
16,41000.0,19750.0,16750.0
17,41000.0,19750.0,16750.0
18,41000.0,19750.0,16750.0
19,41000.0,19750.0,16750.0
20,41000.0,19750.0,16750.0
21,41000.0,19750.0,16750.0
22,41000.0,19750.0,16750.0
23,41000.0,19750.0,16750.0
24,41000.0,19750.0,16750.0
25,41000.0,19750.0,16750.0
26,41000.0,19750.0,16750.0
27,41000.0,19750.0,16750.0
28,41000.0,19750.0,16750.0
29,41000.0,19750.0,16750.0
30,41000.0,19750.0,16750.0
