,Program Director (Cost/yr),Monitoring and Evaluation Manager (Cost/yr),Finance and Administrator (Cost/yr),Implementation Manager (Cost/yr),Office Costs (Cost/yr),Travel (Cost/yr),Equipment (Cost/yr),Contracts (Cost/yr),Overhead (Cost/yr),Others (Cost/yr)
1,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
2,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
3,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
4,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
5,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
6,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
7,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
8,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
9,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
10,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
11,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
12,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
13,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
14,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
15,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
16,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
17,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
18,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
19,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
20,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
21,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
22,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
23,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
24,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
25,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
26,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
27,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
28,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
29,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
30,30000.0,15000.0,15000.0,15000.0,7000.0,5000.0,5000.0,5000.0,4000.0,0.0
